,company_name,founded_year,company_hq_location,sector,company_description,founders,investor,amount_usd,funding_round,funding_month,funding_year
49,Practically,2018.0,Hyderabad,E-Learning,An experiential learning app for grades 6th to 12th.,"Subbarao Siddabattula, Charu Noheria, Ilangovel Thulasimani","NB Ventures, Earlsfield Capital",5000000.0,Unknown,12,2021
50,Nestasia,2018.0,Kolkata,Retail,"Artisanal, Handmade, bio conscious crafts from South East Asia.","Aditi Murarka Agrawal, Anurag Agrawal","Varun Alagh, Sahil Barua",4000000.0,Series A,12,2021
52,Juspay,2012.0,Bengaluru,Fintech,Enable frictionless payments for the billion Indians.,"Vimal Kumar, Ramanathan RV",SoftBank Vision Fund 2,60000000.0,Series C,12,2021
53,TranZact,2017.0,Mumbai,Information Technology & Services,A mission to digitize millions of Indian SMEs so they can grow better.,"Ritesh Kumar, Sharad Sen Sharma, Rohan Sen Sharma","Tribe Capital, Prime Venture Partners",7000000.0,Series A,12,2021
57,Stack,2020.0,Bengaluru,Financial Services,Stack is an investing platform set to put money to work and help invest like some of the world’s biggest money-makers,"Smriti Tomar, Tushar Vyas","Y Combinator, Harvard Management",4500000.0,Seed,12,2021
59,WeSkill,2020.0,Gurugram,E-Learning,Act as the bridge for skills providing access to learning and developing these skills at a younger age from the comfort and security of home.,"Shaurya Joshi, Shashank Patidar, Praneet Agarwal","Shrishti Sahu, Umang Vohra",4000000.0,Pre-Seed,12,2021
60,Fitpage,2020.0,Mumbai,"Health, Wellness & Fitness","An endurance-first fitness tech platform focussed on enabling you to learn, eat, work out and live better.",Vikas Singh,"Astra Ventures, Gaurav Jaitly",300000.0,Unknown,12,2021
62,ByteLearn,2021.0,Noida,E-Learning,AI powered teaching assistant for 100 Mn teachers across the world,,"Aditya Singhal, Nishant Sinha",9500000.0,Seed,12,2021
63,Dista,2017.0,Pune,Computer Software,Dista is an AI-enabled location intelligence platform that offers a wide range of solutions for businesses to power their mobility and field operations.,"Nishant Kumar, Shishir Gokhale, Deepak Garg",Pentathlon Ventures,1200000.0,Seed,12,2021
64,OfBusiness,2015.0,Gurugram,Financial Services,"OfBusiness is a new age commerce and fintech start up, and is technologically driven to provide smart procurement and smart financing to SMEs.","Ruchi Kalra, Asish Mohapatra","Alpha Wave Ventures II, Tiger Global Management, SoftBank Vision Fund II",325000000.0,Unknown,12,2021
67,Metadome,2017.0,Bengaluru,Computer Software,"Metadome (formerly Adloid), is a Metaverse, that provides no-code infrastructure to millions of creators & brands, to build immersive experiences for the virtual world.","Kanav Singla, Prashant Sinha, Shorya Mahajan","Chiratae Ventures, Lenskart Vision Fund",4000000.0,Pre-Series A,12,2021
68,Keka HR,2014.0,Hyderabad,Information Technology & Services,Keka is a simple and intuitive HR software unlike the traditional HR systems.,Vijay Yalamanchili,Recur Club,1600000.0,Unknown,12,2021
70,Yodacart,2019.0,Thane,E-Commerce,YODACART is an e-commerce startup offering real-time product discovery using AI/ML for appliances based on consumers’ needs with an AR-enabled browsing experience.,Vikas Sharma,Ajith Daneil,225000.0,Pre-Seed,12,2021
72,Zepto,2021.0,Bengaluru,E-Commerce,"Ability to consistently deliver 2,500+ products in 10 minutes flat.","Aadit Palicha, Kaivalya Vohra",Y-Combinator,100000000.0,Unknown,12,2021
73,Sirona Hygiene,2015.0,New Delhi,"Health, Wellness & Fitness","An award-winning brand, committed to solving those Intimate & Menstrual Hygiene issues for women",Deep Bajaj,The Good Glamm Group,10000000.0,Unknown,12,2021
75,Captain Fresh,2019.0,Bengaluru,Logistics & Supply Chain,A B2B marketplace leveraging technology to deliver the fastest harvest-to-retail in the industry.,Utham Gowda,"Tiger Global, Prosus Ventures",40000000.0,Series B,12,2021
77,Kohbee,2019.0,Bengaluru,E-Learning,"Kohbee is a mobile app for online trainers and educators to run their online business, end to end.","Rohan Sinha, Shashwat Aditya","Ankit Mehrotra, Saurabh Aggarwal",235000.0,Pre-Seed,12,2021
78,Perfora,2021.0,Gurugram,Consumer Goods,"Building a disruptive, modern, and functional oral care brand for consumers in India and globally.","Tushar Khurana, Jatan Bawa",Sauce.vc,260000.0,Pre-Seed,12,2021
79,Unbox Robotics,2019.0,Pune,Logistics & Supply Chain,Unbox Robotics is building software-defined robotics platforms to enable logistics players to automate and radically improve their operations on-demand in a limited footprint and capital.,"Pramod Ghadge, Shahid Memon, Rohit Pitale","3one4 Capital, Sixth Sense Ventures",7000000.0,Series A,12,2021
80,Ninety One,2015.0,Ahmedabad,Consumer Goods,"Ninety One makes cycles, which the company claims are affordable and different from the ones available in the market.","Sachin Chopra, Vishal Chopra",A91 Partners,30000000.0,Series A,12,2021
82,RIPPLR,2019.0,Bengaluru,Logistics & Supply Chain,India’s first Plug-n-Play distribution ecosystem for brands,"Abhishek Nehru, Santosh Dabke","Sojitz Corporation, Stride Ventures",12000000.0,Pre-Series B,12,2021
83,SK Finance,1994.0,Jaipur,Financial Services,SK Finance is a leading player in vehicle financing and small business loans lending space with AUM over 4000cr.,Rajendra Setia,"IIFL Wealth, TPG Growth, Norwest Venture Partners",53000000.0,Series F,12,2021
84,Eggoz,2017.0,Gurugram,Food & Beverages,Make a meaningful impact to improve the protein consumption of people by enriching the lives of the rural egg farmers.,"Abhishek Negi, Uttam Kumar, Aditya Singh, Pankaj Pandey","Nabventures, Avaana Capital",3500000.0,Series A,12,2021
86,Veefin,2010.0,Mumbai,Information Technology & Services,"Veefin is the world leader in contextual SCF and digital lending solution adopting user-led design, data and analytics, built by bankers for bankers.","Gautam Udani, Raja Debnath",Rajesh Rajendran,3000000.0,Unknown,12,2021
88,Zepto,2021.0,Mumbai,E-Commerce,Grocery delivery startup,"Aadit Palicha, Kaivalya Vohra","Glade Brook Capital, Nexus, Y Combinator",60000000.0,Unknown,11,2021
89,Fi,2019.0,Bengaluru,Financial Services,Fi is a neo bank.,Sumit Gwalani,"Capital Group, Falcon Edge",50000000.0,Series B,11,2021
94,Ruptok Fintech,2020.0,New Delhi,Financial Services,"Ruptok fintech Pvt. Ltd. is an online gold loan service provider , with attractive interests rate .",Ankur Gupta,Manuvel Malabar Jewellers,2000000.0,Pre-Series A,11,2021
95,VilCart,2017.0,Bengaluru,Retail,Vilcart's motto is sustainable rural development through stability for rural retailers.,Prasanna Kumar,Nabventures,2000000.0,Unknown,11,2021
96,Dogsee Chew,2015.0,Bengaluru,Food & Beverages,100% Natural Dog Treats.,"Bhupendra Khanal, Sneh Sharma",Sixth Sense Ventures,7000000.0,Pre-Series A,11,2021
98,TRDR,2020.0,Bengaluru,Financial Services,TRDR is an all-new approach to investing.,Ricky Jacob,"Kunal Shah, Snehal Fulzele",150000.0,Unknown,11,2021
100,Leap India,2013.0,Mumbai,Logistics & Supply Chain,"""Leading Enterprise in Asset Pooling"" India's Largest Sustainable Supply Chain Solutions Company.",Anurag Malempati,CDC Group,10000000.0,Unknown,11,2021
101,SuperBottoms,2015.0,Mumbai,Consumer Goods,SuperBottoms was born out of a personal passion for cloth diapering that would give the convenience of diapers while not harming the environment and baby’s skin.,Pallavi Utagi,Alteria Capital,400000.0,Unknown,11,2021
102,Cora Health,2020.0,Bengaluru,"Health, Wellness & Fitness",Social commerce marketplace for everyday health and wellness.,"Snigdha Kumar, Shrijit Venkatesh",Indian Angel Network,600000.0,Seed,11,2021
104,The Good Glamm Group,2021.0,Pune,Information Technology & Services,South Asia’s largest Content-to-Commerce scale-up investing 100 million in fast-growing beauty & personal care brands.,"Darpan Sanghvi, Priyanka Gill, Naiyya saggi","Warburg Pincus﻿, Prosus Ventures",150000000.0,Series D,11,2021
105,Mosaic Wellness,2019.0,Mumbai,"Health, Wellness & Fitness",A platform of digital first health clinics for men and women,Dhyanesh Shah,Sequoia,24000000.0,Series A,11,2021
106,CloudFiles,2020.0,Bengaluru,Saas,"Supercharge files with enterprise-grade security, page-by-page analytics and powerful content automations.","Vishesh Singhal, Ankit Gupta, Siddharth Garg",Titan Capital,300000.0,Pre-Seed,11,2021
108,Xpand,2021.0,New Delhi,Retail,LMCE handholds brands and enables their reach across the UNSERVED & UNDER-SERVED pockets of the country in a SUSTAINABLE manner to drive MEASURABLE growth.,Sanjay Kaul,"Akash Prakash, Madhu Jayakumar, Dipinder Sandhu, Shagun Khandelwal",1500000.0,Pre-Series A,11,2021
109,Troo Good,2018.0,Hyderabad,E-Commerce,An FMCG company selling nutritious products at an affordable price points.,Raju Bhupati,OAKS Asset Management,7000000.0,Series A,11,2021
111,Unnati,2019.0,Noida,Fintech,Fintech powered digital agri ecosystem,"Amit Sinha, Ashok Prasad","Incofin, NabVentures, Orios",7000000.0,Series A,11,2021
116,Vayana Network,2017.0,Pune,Financial Services,"Vayana Network is an electronic network that connects Corporates and their Supply Chain to Financial Institutions for easy, quick and low-cost access to Trade Financing of their Payables and Receivables.",Ramaswamy Iyer,"CDC Group, Jungle Ventures, March Capital, Marshall Wace",30000000.0,Series C,11,2021
117,Valuationary,2020.0,Surat,E-Learning,EdTech platform upskilling candidates to bag deserving finance job roles.,"Pratik Bajaj, Kunal Shah, Mahip Gupta","Ashish Jain, Ajay Surana",100000.0,Pre-Seed,11,2021
119,Petpooja,2011.0,Ahmedabad,Information Technology & Services,"Petpooja is the largest next-generation PoS platform for the F&B sector with more than 25,000+ clients across India and UAE.","Apurv Patel, Parthiv Patel","Aroa Ventures, GVFL, Udaan",4500000.0,Unknown,11,2021
120,Wingreens Farms,2011.0,Gurugram,Food & Beverages,"Wingreens Farms is a fully integrated (farm to retail) Food Company in the business of making and selling a range of fresh, healthy, tasty and innovative food products.","Anju C Srivastava, Arjun Srivastava","Investcorp, Omidyar Network",17000000.0,Unknown,11,2021
124,DGV,2019.0,Bengaluru,Information Technology & Services,NeoBanking for Bharat,Ragavan Venkatesan,"Info Edge Ventures, Omnivore",3000000.0,Pre-Series A,11,2021
125,GuardianLink,2017.0,Chennai,Information Technology & Services,Building tech infrastructure to help NFT commerce go mainstream,"Ramkumar Subramaniam, Kamesh Elangovan",Kalaari Capital,12000000.0,Series A,11,2021
126,Clinikk,2016.0,Bengaluru,Hospital & Health Care,Transforming health insurance by building India's first managed care model,"Dr.Suraj Baliga, Bhavjot Kaur",MassMutual Ventures,4000000.0,Pre-Series A,11,2021
127,Toplyne,2021.0,Bengaluru,Computer Software,Toplyne helps sales teams at product-led companies convert their freemium users!,"Rishen Kapoor and Ruchin Kulkarni, Rohit Khanna","Sequoia Capital , Together Fund",2500000.0,Unknown,11,2021
131,Wonderchef,2009.0,Mumbai,Consumer Goods,"Wonderchef Cookware and Appliances is a perfect blend of health, taste, and convenience that inspires us to 'cook with pride'.",Ravi Saxena,"Sixth Sense Ventures, Godrej Family office, Malpani Group",20000000.0,Unknown,11,2021
132,GoKwik,2020.0,New Delhi,Information Technology & Services,GoKwik is a platform for solving shopping experience problems on e-commerce websites on the internet.,"Chirag, Vivek Bajpai, Ankush Talwar",Sequoia Capital India,15000000.0,Series A,11,2021
133,Velocity,2020.0,Bengaluru,Financial Services,"Velocity provides revenue based financing, up to Rs 3 crores, for marketing and inventory spends of online businesses.","Saurav Swaroop, Abhiroop Medhekar, Atul Khichariya",Valar Ventures,20000000.0,Series A,11,2021
134,SalaryBox,2020.0,Gurugram,Financial Services,SalaryBox is solution that makes employee management effortless.,"Nikhil Goel, Peeyush Goyal","Y-Combinator, AME Cloud Ventures, Gokul Rajaram",4000000.0,Seed,11,2021
137,Tickertape,2019.0,Bengaluru,Financial Services,"Tickertape provides data, information & content for Indian stocks, ETFs & indices",Ujjwal Ankur,Smallcase,5000000.0,Unknown,11,2021
139,Disprz,2015.0,Mumbai,E-Learning,An AI-powered right skilling suite that helps enterprises unlock business potential.,"Subramanian Viswanathan, Kuljit Chadha","Dallas Venture Capital, Mars Growth Capital",13000000.0,Series B,11,2021
141,Inzpira,2021.0,Thiruvananthapuram,E-Learning,"Inzpira is India's only Live online 1:1 platform for Language Learning & Test Preparation that lets users instantly connect with expert trainers and learn anytime, from anywhere.","Rohith Namboothiri, Sruthy Ramesh","Raj Nair, Gopinath Latpate",300000.0,Seed,11,2021
142,Defy,2021.0,Bengaluru,Financial Services,Building India's first social crypto exchange,"Bhagaban Behera, Sriharsha Setty, Nakul Kelkar","Y Combinator, Goat VC, JAM Fund, Goodwater Capital",5500000.0,Unknown,11,2021
143,Mindhouse,2019.0,Gurugram,"Health, Wellness & Fitness",Mindhouse is a Yoga & Nutrition driven personalized healthcare platform.,"Pooja Khanna, Pankaj Chaddah","Binny Bansal, General Catalyst",6000000.0,Seed,11,2021
148,True Balance,2014.0,Gurugram,Financial Services,"Balancehero India Private Limited (BHI), the wholly owned subsidiary of Balancehero Co. Ltd., Korea which runs and operates mobile App “True Balance”.",Cheolwon Lee,"Northern Arc, Arthmate, Shine Star, E clear, Hinduja",30000000.0,Unknown,11,2021
149,Recordent,2018.0,Hyderabad,Financial Services,Helping MSMEs collect customer dues faster & reduce risk by checking credit & payment history before offering credit,Winny Patro,"Family Office of Kantamaneni, IIM Calcutta Innovation Park",400000.0,Unknown,11,2021
150,Koparo,2020.0,New Delhi,Consumer Goods,Koparo is a direct-to-consumer brand that is addressing the needs of modern Indian families and their homes.,Simran Khara,"Saama Capital﻿, ﻿Titan Capital﻿, DSG Consumer Partners",700000.0,Seed,11,2021
151,Indifi,2015.0,Gurugram,Financial Services,Indifi believes in helping small businesses grow by offering loans to those that have potential and intent.,Alok Mittal,"Omidyar Network, Flourish Ventures, Elevar Equity, Accel",40000000.0,Unknown,11,2021
154,Simple Energy,2019.0,Bengaluru,Automotive,A Research and development driven company on a mission to build the future of mobility that is electric and connected.,Suhas Rajkumar,,21000000.0,Unknown,11,2021
156,Spinny,2015.0,Gurugram,Automotive,Spinny is a new age used car end-to-end platform in India.,"Niraj Singh, Mohit Gupta, Ramanshu Mahaur","Abu Dhabi Growth Fund, Tiger Global",248000000.0,Series E,11,2021
158,Slice,2015.0,Bengaluru,Financial Services,"Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards","Rajan Bajaj, Siva Kumar Tangudu","Tiger Global, Insight Partners",220000000.0,Series B,11,2021
159,21K School,2020.0,Bengaluru,E-Learning,"21K School is India's First Online School that provides a complete online school experience and personalized learning – anytime, anywhere.","Santosh Kumar, Yeshwanth Raj Parasmal, Dinesh Kumar, Joshi Kumar",Ronnie Screwvala,5000000.0,Pre-Series A,11,2021
160,Adda247,2016.0,Gurugram,E-Learning,"The multilingual edtech platform provides 360 degree learning solutions catering to all major educational needs of Tier II, tier III including online courses for competitive exams","Anil Nagar, Saurabh Bansal",WestBridge Capital,20000000.0,Series B,11,2021
161,Loop Health,2018.0,Pune,Hospital & Health Care,India's first health insurance with unlimited primary care for employees.,"Amrit Singh, Mayank Kale","Elevation, General Catalyst",12000000.0,Unknown,10,2021
162,Rupifi,2020.0,Bengaluru,Financial Services,Embedded Lending for Small Businesses,"Jawaid Iqbal, Dhruv Bhushan",Alteria Capital,1000000.0,Debt,10,2021
164,Svish,2020.0,Gurugram,Consumer Goods,D2C personal hygiene startup,"Ishan, Jaideep Mahajan",Nueva,400000.0,Seed,10,2021
165,Progcap,2016.0,New Delhi,Fintech,"Progcap (Desiderata Impact Ventures Private Limited) is a mission-driven, inclusive financing technology firm","Pallavi Shrivastava, Himanshu Chandra",Tiger Global,30000000.0,Series C,10,2021
168,ANS Commerce,2017.0,Gurugram,E-Commerce,ANS Commerce is India’s #1 full-stack e-commerce enabler helping brands sell online.,"Amit Monga, Nakul Singh, Vibhor Sahare, Sushant Puri","Gokul Rajaram, Venture Catalysts",2200000.0,Pre-Series A,10,2021
169,Mobileware Technologies,2008.0,Mumbai,Information Technology & Services,"A mobile applications development platform for technologies including Symbian, Blackberry, and early versions of iOS and Android.","Amitabh Kanekar, Satyajit Kanekar",Kvanto Payment Services,4700000.0,Unknown,10,2021
171,BYJU'S,2011.0,Bengaluru,Edtech,BYJU’S is India's largest ed-tech company and the creator of India’s most loved school learning app.,"Byju Raveendran, Divya Gokulnath","Oxshott Capital Partners, XN Exponent, Edelweiss",300000000.0,Unknown,10,2021
172,Hyperface,2021.0,Bengaluru,Information Technology & Services,Empowering Brands and Fintechs to offer banking products contextually to their customers.,"Ramanathan RV, Aishwarya Jaishankar","Kunal Shah, Better Capital",1300000.0,Unknown,10,2021
173,Licious,2015.0,Bengaluru,Food & Beverages,"Licious is a consumer food company, focussed at delighting the world with an unmatched range of meat & meat products.","Vivek Gupta, Abhay",,52000000.0,Series G,10,2021
175,Kaar Technologies,2005.0,Chennai,Information Technology & Services,"Kaar Technologies is an SAP global consultancy firm that designs, delivers and deploys cutting-edge SAP solutions for businesses around the world.",Maran Nagarajan,BlackSoil,4000000.0,Unknown,10,2021
177,Sunstone Eduversity,2011.0,Gurugram,Edtech,Sunstone Eduversity is a one-of-its-kind business school operating in an asset-light model since 2011.,"Ashish Munjal, Piyush Nangru",WestBridge Capital,28000000.0,Series B,10,2021
181,kWh Bikes,2020.0,Bengaluru,Automotive,Building India’s strongest and smartest electric 2 wheelers,"Siddharth Janghu, Kartik Gupta, Anupriya","Let’s Venture, Better Capital",2000000.0,Seed,10,2021
182,IBSFINtech,2006.0,Bengaluru,Information Technology & Services,"Driving Digitization & Automation of Cash & Liquidity, Risk, Treasury & Trade Finance functions of the Corporate.","C M Grover, TM Manjunath",,1000000.0,Pre-Series A,10,2021
185,Twin Health,2018.0,Chennai,"Health, Wellness & Fitness",Twin Health invented the Whole Body Digital Twin™ to help reverse and prevent chronic metabolic diseases.,Jahangir Mohammed,"Sequoia Capital India, ICONIQ Capital, Perceptive Advisors",140000000.0,Series C,10,2021
192,Ishitva,2018.0,Ahmedabad,Computer Software,"Sort to create value’ using #AI, #Robotics and #AirSorter to achieve a #circulareconomy with environmental benefits.",Jitesh Dadlani,Inflection Point Ventures,1000000.0,Pre-Series A,10,2021
193,Ola Electric,2017.0,Bengaluru,Automotive,Sustainability for the future.,Bhavish Aggarwal,"Falcon Edge, Softbank",200000000.0,Unknown,10,2021
195,F5,2018.0,New Delhi,Retail,One-Stop Solution for Daily Workplace Needs,"Raghav Arora, Lalit Aggarwal",Auxano Capital,600000.0,Pre-Series A,10,2021
197,SALT,2019.0,Bengaluru,Financial Services,Salt is a neo-banking experience created to cater to international businesses.,"Ankit Parasher, Udita Pal","Prashant Pansare, Supermorpheus",500000.0,Pre-Seed,10,2021
198,EarnWealth,2014.0,Pune,Financial Services,"EarnWealth is India's First Social Commerce FinTech which enables Financial Consultants, Mutual Fund Distributors, Insurance Agents, Real Estate Consultants, Housewives, Retired People and Students to earn quick money by selling Loans, Credit Cards",Rajesh P Nair,,500000.0,Pre-Series A,10,2021
199,Visit Health,2015.0,New Delhi,"Health, Wellness & Fitness","Visit is a 360° integrated, highly engaging Health Benefits Platform- covering end to end health & wellness management.","Shashvat Tripathi, Anurag Prasad, Vaibhav Singh, Chetan Anand",Docprime Technologies,7500000.0,Unknown,10,2021
204,Hubilo,2020.0,Ahmedabad,Software,Hubilo is the leading hybrid event platform built for engagement and event excellence.,"Mayank Agarwal, Vaibhav Jain",Alkeon Capital,125000000.0,Series B,10,2021
205,M2P Fintech,2015.0,Chennai,Financial Services,"M2P fintech was born out of the need to build highly scalable, secure yet nimble technology stack at the intersection of Mobility, Commerce and payments.",Madhusudanan R,Tiger Global,35000000.0,Series C,10,2021
206,Open Financial Technologies,2017.0,Bengaluru,Financial Services,Open is Asia’s first neobanking platform for SMEs and startups.,Anish Achuthan,"Temasek, Google, SBI Investment",90000000.0,Series C,10,2021
207,Niro,2021.0,Bengaluru,Financial Services,Embedding personal credit products into leading consumer internet platforms.,"Aditya Kumar, Sankalp Mathur",Elevar Equity,3500000.0,Seed,10,2021
208,Wiingy,2021.0,Bengaluru,E-Learning,The ultimate 1:1 live e-learning platform providing personalized hands-on learning for kids,Asit Biswal,Aroa Ventures,400000.0,Unknown,10,2021
209,CarDekho,2008.0,Jaipur,Automotive,Redefining the country’s personal mobility ecosystem with technologically enhanced solutions.,"Amit Jain, Anurag Jain",,250000000.0,Series E,10,2021
212,Toch.ai,2016.0,Mumbai,Saas,"Toch is an AI-driven platform that helps broadcasters, OTT platforms, media platforms, and creators to revolutionize videos.","Vinayak Shrivastav, Saket Dandotia, Alok Patil",,11000000.0,Series A,10,2021
213,Playto Labs,2021.0,Bengaluru,E-Learning,Playto Labs provides robotics toys and online classes for kids to help them develop the key 21st century skills. Book a free trial for your child today at www.playtolabs.com,Pavan Ponnaganti,Inflection Point Ventures,500000.0,Seed,10,2021
214,Fraazo,2020.0,Mumbai,Food & Beverages,FRAAZO is Mumbai's favourite App for Fresh Vegetables and Fruits coming straight from the Farm to your Doorstep within 18 Hours.,"Atul Kumar, Aashish Krishnatre",WestBridge Capital,50000000.0,Series B,10,2021
215,Arcana,2019.0,Bengaluru,Information Technology & Services,Arcana offers a Privacy Stack SDK to DApp developers on EVM compatible blockchains chains to build Privacy-First products.,"Mayur Relekar, Aravindh Kumar, Abhishek Chaudhary","Republic Crypto, Woodstock, DCG, Sahil Lavingia",2300000.0,Unknown,10,2021
216,FloCareer,2018.0,Bengaluru,Information Technology & Services,"The Best Skills Validation Platform that provides ""Interview As-A-Service""​.","Mohit Jain, Mehul Bhatt",Data Point Capital,5700000.0,Series A,10,2021
